,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7
0,1.5125950510009715e-05,1.4928715050009487e-05,1.2736558759970648e-05,1.2736967980017654e-05,1.2693345200023031e-05,1.2598727519980457e-05,1.256884402999276e-05
1,1.4928715050009487e-05,1.2736558759970648e-05,1.2736967980017654e-05,1.2693345200023031e-05,1.2598727519980457e-05,1.256884402999276e-05,1.2390535729973634e-05
2,1.2736558759970648e-05,1.2736967980017654e-05,1.2693345200023031e-05,1.2598727519980457e-05,1.256884402999276e-05,1.2390535729973634e-05,1.2242979000002379e-05
3,1.2736967980017654e-05,1.2693345200023031e-05,1.2598727519980457e-05,1.256884402999276e-05,1.2390535729973634e-05,1.2242979000002379e-05,1.243481356999837e-05
4,1.2693345200023031e-05,1.2598727519980457e-05,1.256884402999276e-05,1.2390535729973634e-05,1.2242979000002379e-05,1.243481356999837e-05,1.2528825940025855e-05
5,1.2598727519980457e-05,1.256884402999276e-05,1.2390535729973634e-05,1.2242979000002379e-05,1.243481356999837e-05,1.2528825940025855e-05,1.2295632290006324e-05
6,1.256884402999276e-05,1.2390535729973634e-05,1.2242979000002379e-05,1.243481356999837e-05,1.2528825940025855e-05,1.2295632290006324e-05,1.2387998459998925e-05
7,1.2390535729973634e-05,1.2242979000002379e-05,1.243481356999837e-05,1.2528825940025855e-05,1.2295632290006324e-05,1.2387998459998925e-05,1.253420252000069e-05
8,1.2242979000002379e-05,1.243481356999837e-05,1.2528825940025855e-05,1.2295632290006324e-05,1.2387998459998925e-05,1.253420252000069e-05,1.2356258319996414e-05
9,1.243481356999837e-05,1.2528825940025855e-05,1.2295632290006324e-05,1.2387998459998925e-05,1.253420252000069e-05,1.2356258319996414e-05,1.271663940999133e-05
10,1.2528825940025855e-05,1.2295632290006324e-05,1.2387998459998925e-05,1.253420252000069e-05,1.2356258319996414e-05,1.271663940999133e-05,1.2524057999980868e-05
11,1.2295632290006324e-05,1.2387998459998925e-05,1.253420252000069e-05,1.2356258319996414e-05,1.271663940999133e-05,1.2524057999980868e-05,1.2499843549994694e-05
12,1.2387998459998925e-05,1.253420252000069e-05,1.2356258319996414e-05,1.271663940999133e-05,1.2524057999980868e-05,1.2499843549994694e-05,1.2493112789998123e-05
13,1.253420252000069e-05,1.2356258319996414e-05,1.271663940999133e-05,1.2524057999980868e-05,1.2499843549994694e-05,1.2493112789998123e-05,1.2492661860014777e-05
14,1.2356258319996414e-05,1.271663940999133e-05,1.2524057999980868e-05,1.2499843549994694e-05,1.2493112789998123e-05,1.2492661860014777e-05,1.2521102000027894e-05
15,1.271663940999133e-05,1.2524057999980868e-05,1.2499843549994694e-05,1.2493112789998123e-05,1.2492661860014777e-05,1.2521102000027894e-05,1.227254584999173e-05
16,1.2524057999980868e-05,1.2499843549994694e-05,1.2493112789998123e-05,1.2492661860014777e-05,1.2521102000027894e-05,1.227254584999173e-05,1.2629423039979883e-05
17,1.2499843549994694e-05,1.2493112789998123e-05,1.2492661860014777e-05,1.2521102000027894e-05,1.227254584999173e-05,1.2629423039979883e-05,1.2450146139999561e-05
18,1.2493112789998123e-05,1.2492661860014777e-05,1.2521102000027894e-05,1.227254584999173e-05,1.2629423039979883e-05,1.2450146139999561e-05,1.2342912099993555e-05
19,1.2492661860014777e-05,1.2521102000027894e-05,1.227254584999173e-05,1.2629423039979883e-05,1.2450146139999561e-05,1.2342912099993555e-05,1.2411667650012533e-05
20,1.2521102000027894e-05,1.227254584999173e-05,1.2629423039979883e-05,1.2450146139999561e-05,1.2342912099993555e-05,1.2411667650012533e-05,1.2864762930003054e-05
21,1.227254584999173e-05,1.2629423039979883e-05,1.2450146139999561e-05,1.2342912099993555e-05,1.2411667650012533e-05,1.2864762930003054e-05,1.2230833680005162e-05
22,1.2629423039979883e-05,1.2450146139999561e-05,1.2342912099993555e-05,1.2411667650012533e-05,1.2864762930003054e-05,1.2230833680005162e-05,1.255079382997792e-05
23,1.2450146139999561e-05,1.2342912099993555e-05,1.2411667650012533e-05,1.2864762930003054e-05,1.2230833680005162e-05,1.255079382997792e-05,1.2319837850009207e-05
24,1.2342912099993555e-05,1.2411667650012533e-05,1.2864762930003054e-05,1.2230833680005162e-05,1.255079382997792e-05,1.2319837850009207e-05,1.2326420869976574e-05
25,1.2411667650012533e-05,1.2864762930003054e-05,1.2230833680005162e-05,1.255079382997792e-05,1.2319837850009207e-05,1.2326420869976574e-05,1.2321171889998369e-05
26,1.2864762930003054e-05,1.2230833680005162e-05,1.255079382997792e-05,1.2319837850009207e-05,1.2326420869976574e-05,1.2321171889998369e-05,1.2506759209973098e-05
27,1.2230833680005162e-05,1.255079382997792e-05,1.2319837850009207e-05,1.2326420869976574e-05,1.2321171889998369e-05,1.2506759209973098e-05,1.2913347520006937e-05
28,1.255079382997792e-05,1.2319837850009207e-05,1.2326420869976574e-05,1.2321171889998369e-05,1.2506759209973098e-05,1.2913347520006937e-05,1.2308178559978841e-05
29,1.2319837850009207e-05,1.2326420869976574e-05,1.2321171889998369e-05,1.2506759209973098e-05,1.2913347520006937e-05,1.2308178559978841e-05,1.2470511370011082e-05
30,1.2326420869976574e-05,1.2321171889998369e-05,1.2506759209973098e-05,1.2913347520006937e-05,1.2308178559978841e-05,1.2470511370011082e-05,1.2268925930002297e-05
31,1.2321171889998369e-05,1.2506759209973098e-05,1.2913347520006937e-05,1.2308178559978841e-05,1.2470511370011082e-05,1.2268925930002297e-05,1.2335011280010803e-05
32,1.2506759209973098e-05,1.2913347520006937e-05,1.2308178559978841e-05,1.2470511370011082e-05,1.2268925930002297e-05,1.2335011280010803e-05,1.2342618770016997e-05
33,1.2913347520006937e-05,1.2308178559978841e-05,1.2470511370011082e-05,1.2268925930002297e-05,1.2335011280010803e-05,1.2342618770016997e-05,1.2436525909979537e-05
34,1.2308178559978841e-05,1.2470511370011082e-05,1.2268925930002297e-05,1.2335011280010803e-05,1.2342618770016997e-05,1.2436525909979537e-05,1.263410837000265e-05
35,1.2470511370011082e-05,1.2268925930002297e-05,1.2335011280010803e-05,1.2342618770016997e-05,1.2436525909979537e-05,1.263410837000265e-05,1.2604803499998524e-05
36,1.2268925930002297e-05,1.2335011280010803e-05,1.2342618770016997e-05,1.2436525909979537e-05,1.263410837000265e-05,1.2604803499998524e-05,1.2380039240015322e-05
37,1.2335011280010803e-05,1.2342618770016997e-05,1.2436525909979537e-05,1.263410837000265e-05,1.2604803499998524e-05,1.2380039240015322e-05,1.2566791449971788e-05
38,1.2342618770016997e-05,1.2436525909979537e-05,1.263410837000265e-05,1.2604803499998524e-05,1.2380039240015322e-05,1.2566791449971788e-05,1.2326497579997521e-05
39,1.2436525909979537e-05,1.263410837000265e-05,1.2604803499998524e-05,1.2380039240015322e-05,1.2566791449971788e-05,1.2326497579997521e-05,1.240946857000381e-05
40,1.263410837000265e-05,1.2604803499998524e-05,1.2380039240015322e-05,1.2566791449971788e-05,1.2326497579997521e-05,1.240946857000381e-05,1.2530783299989707e-05
41,1.2604803499998524e-05,1.2380039240015322e-05,1.2566791449971788e-05,1.2326497579997521e-05,1.240946857000381e-05,1.2530783299989707e-05,1.2376203690000693e-05
42,1.2380039240015322e-05,1.2566791449971788e-05,1.2326497579997521e-05,1.240946857000381e-05,1.2530783299989707e-05,1.2376203690000693e-05,1.2348641660028079e-05
43,1.2566791449971788e-05,1.2326497579997521e-05,1.240946857000381e-05,1.2530783299989707e-05,1.2376203690000693e-05,1.2348641660028079e-05,1.2458340419980231e-05
44,1.2326497579997521e-05,1.240946857000381e-05,1.2530783299989707e-05,1.2376203690000693e-05,1.2348641660028079e-05,1.2458340419980231e-05,1.2621345660008955e-05
45,1.240946857000381e-05,1.2530783299989707e-05,1.2376203690000693e-05,1.2348641660028079e-05,1.2458340419980231e-05,1.2621345660008955e-05,1.2395026519989188e-05
46,1.2530783299989707e-05,1.2376203690000693e-05,1.2348641660028079e-05,1.2458340419980231e-05,1.2621345660008955e-05,1.2395026519989188e-05,1.2464500450005288e-05
47,1.2376203690000693e-05,1.2348641660028079e-05,1.2458340419980231e-05,1.2621345660008955e-05,1.2395026519989188e-05,1.2464500450005288e-05,1.2410719640029128e-05
48,1.2348641660028079e-05,1.2458340419980231e-05,1.2621345660008955e-05,1.2395026519989188e-05,1.2464500450005288e-05,1.2410719640029128e-05,1.244285253000271e-05
49,1.2458340419980231e-05,1.2621345660008955e-05,1.2395026519989188e-05,1.2464500450005288e-05,1.2410719640029128e-05,1.244285253000271e-05,1.2633513290020347e-05
50,1.2621345660008955e-05,1.2395026519989188e-05,1.2464500450005288e-05,1.2410719640029128e-05,1.244285253000271e-05,1.2633513290020347e-05,1.225765588998911e-05
51,1.2395026519989188e-05,1.2464500450005288e-05,1.2410719640029128e-05,1.244285253000271e-05,1.2633513290020347e-05,1.225765588998911e-05,1.2402509610001289e-05
52,1.2464500450005288e-05,1.2410719640029128e-05,1.244285253000271e-05,1.2633513290020347e-05,1.225765588998911e-05,1.2402509610001289e-05,1.238858379998419e-05
53,1.2410719640029128e-05,1.244285253000271e-05,1.2633513290020347e-05,1.225765588998911e-05,1.2402509610001289e-05,1.238858379998419e-05,1.226542006003001e-05
54,1.244285253000271e-05,1.2633513290020347e-05,1.225765588998911e-05,1.2402509610001289e-05,1.238858379998419e-05,1.226542006003001e-05,1.232292493001296e-05
55,1.2633513290020347e-05,1.225765588998911e-05,1.2402509610001289e-05,1.238858379998419e-05,1.226542006003001e-05,1.232292493001296e-05,1.2501401720001014e-05
56,1.225765588998911e-05,1.2402509610001289e-05,1.238858379998419e-05,1.226542006003001e-05,1.232292493001296e-05,1.2501401720001014e-05,1.2680677119969914e-05
57,1.2402509610001289e-05,1.238858379998419e-05,1.226542006003001e-05,1.232292493001296e-05,1.2501401720001014e-05,1.2680677119969914e-05,1.2735064860025886e-05
58,1.238858379998419e-05,1.226542006003001e-05,1.232292493001296e-05,1.2501401720001014e-05,1.2680677119969914e-05,1.2735064860025886e-05,1.2382788870017976e-05
59,1.226542006003001e-05,1.232292493001296e-05,1.2501401720001014e-05,1.2680677119969914e-05,1.2735064860025886e-05,1.2382788870017976e-05,1.231151669002429e-05
60,1.232292493001296e-05,1.2501401720001014e-05,1.2680677119969914e-05,1.2735064860025886e-05,1.2382788870017976e-05,1.231151669002429e-05,1.2219507110021368e-05
61,1.2501401720001014e-05,1.2680677119969914e-05,1.2735064860025886e-05,1.2382788870017976e-05,1.231151669002429e-05,1.2219507110021368e-05,1.2191921369994816e-05
62,1.2680677119969914e-05,1.2735064860025886e-05,1.2382788870017976e-05,1.231151669002429e-05,1.2219507110021368e-05,1.2191921369994816e-05,1.2550106560011046e-05
63,1.2735064860025886e-05,1.2382788870017976e-05,1.231151669002429e-05,1.2219507110021368e-05,1.2191921369994816e-05,1.2550106560011046e-05,1.2296710619993973e-05
64,1.2382788870017976e-05,1.231151669002429e-05,1.2219507110021368e-05,1.2191921369994816e-05,1.2550106560011046e-05,1.2296710619993973e-05,1.2403515029982373e-05
65,1.231151669002429e-05,1.2219507110021368e-05,1.2191921369994816e-05,1.2550106560011046e-05,1.2296710619993973e-05,1.2403515029982373e-05,1.2439547480025794e-05
66,1.2219507110021368e-05,1.2191921369994816e-05,1.2550106560011046e-05,1.2296710619993973e-05,1.2403515029982373e-05,1.2439547480025794e-05,1.2447834129998228e-05
67,1.2191921369994816e-05,1.2550106560011046e-05,1.2296710619993973e-05,1.2403515029982373e-05,1.2439547480025794e-05,1.2447834129998228e-05,1.2487150529996143e-05
68,1.2550106560011046e-05,1.2296710619993973e-05,1.2403515029982373e-05,1.2439547480025794e-05,1.2447834129998228e-05,1.2487150529996143e-05,1.2306468789975042e-05
69,1.2296710619993973e-05,1.2403515029982373e-05,1.2439547480025794e-05,1.2447834129998228e-05,1.2487150529996143e-05,1.2306468789975042e-05,1.2551127419974364e-05
70,1.2403515029982373e-05,1.2439547480025794e-05,1.2447834129998228e-05,1.2487150529996143e-05,1.2306468789975042e-05,1.2551127419974364e-05,1.2343161079988932e-05
71,1.2439547480025794e-05,1.2447834129998228e-05,1.2487150529996143e-05,1.2306468789975042e-05,1.2551127419974364e-05,1.2343161079988932e-05,1.290110193000146e-05
72,1.2447834129998228e-05,1.2487150529996143e-05,1.2306468789975042e-05,1.2551127419974364e-05,1.2343161079988932e-05,1.290110193000146e-05,1.2519441369986452e-05
73,1.2487150529996143e-05,1.2306468789975042e-05,1.2551127419974364e-05,1.2343161079988932e-05,1.290110193000146e-05,1.2519441369986452e-05,1.2789695889987342e-05
74,1.2306468789975042e-05,1.2551127419974364e-05,1.2343161079988932e-05,1.290110193000146e-05,1.2519441369986452e-05,1.2789695889987342e-05,1.2658862429998408e-05
75,1.2551127419974364e-05,1.2343161079988932e-05,1.290110193000146e-05,1.2519441369986452e-05,1.2789695889987342e-05,1.2658862429998408e-05,1.2401111539984413e-05
76,1.2343161079988932e-05,1.290110193000146e-05,1.2519441369986452e-05,1.2789695889987342e-05,1.2658862429998408e-05,1.2401111539984413e-05,1.2415394390009168e-05
77,1.290110193000146e-05,1.2519441369986452e-05,1.2789695889987342e-05,1.2658862429998408e-05,1.2401111539984413e-05,1.2415394390009168e-05,1.2419031040008121e-05
